,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
25,00:07.2,0.027587891,0.907958984,0.392822266,35.33935547,-50.53710938,36.56005859
26,00:07.2,-0.005371094,0.880371094,0.322265625,34.97314453,-58.47167969,34.24072266
27,00:07.2,-0.020996094,0.855712891,0.292236328,33.14208984,-69.82421875,33.14208984
28,00:07.2,-0.156494141,0.762939453,0.228515625,26.97753906,-79.58984375,32.83691406
29,00:07.2,-0.319580078,0.556640625,0.069824219,11.90185547,-73.12011719,32.65380859
30,00:07.2,-1.031005859,0.255859375,-0.176757813,-17.63916016,-50.59814453,42.66357422
31,00:07.2,-0.296142578,-0.325927734,-0.071777344,-75.86669922,27.22167969,71.71630859
32,00:07.2,0.489257813,-0.700195313,0.137207031,-83.67919922,71.47216797,39.30664063
33,00:07.2,0.69921875,-0.064697266,0.569091797,34.24072266,21.60644531,-32.71484375
34,00:07.2,0.609863281,1.302001953,0.864257813,134.1552734,-15.68603516,-31.18896484
35,00:07.2,0.137451172,1.628173828,0.710449219,69.64111328,-11.16943359,9.765625
36,00:07.2,0.043212891,0.753417969,0.484863281,-35.94970703,-20.26367188,17.94433594
37,00:07.3,0.244384766,0.191894531,0.413574219,-47.54638672,-46.63085938,11.41357422
38,00:07.3,0.253417969,0.245361328,0.311279297,-7.690429688,-67.32177734,8.483886719
39,00:07.3,0.075927734,0.495849609,0.266601563,20.56884766,-62.13378906,2.624511719
40,00:07.3,0.113769531,0.653564453,0.358154297,20.81298828,-44.61669922,-18.18847656
41,00:07.3,0.080078125,0.663330078,0.282714844,11.41357422,-39.48974609,-32.83691406
42,00:07.3,-0.119873047,0.634033203,0.243164063,2.563476563,-33.99658203,-25.93994141
43,00:07.3,0.094482422,0.518066406,0.209472656,-18.73779297,-21.78955078,-53.83300781
44,00:07.3,0.303466797,0.436523438,0.049804688,-25.45166016,-32.04345703,-72.50976563
45,00:07.3,0.371826172,0.471435547,0.077880859,-26.18408203,-47.72949219,-74.27978516
46,00:07.3,0.417480469,0.545654297,0.154296875,-34.30175781,-41.015625,-81.29882813
47,00:07.3,0.431396484,0.611572266,0.174560547,-44.61669922,-24.35302734,-95.45898438
